id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm91125,Fida,MOVIE,FidatellsthestoryofJaiwhoonedayhappentomeetayoungandbeautifulwomancalledNehaandhefallsinlovewithheratfirstsight.,2004,,122,"romance,thriller,action,crime,drama",IN,,tt0422236,5.4,2638,2.932,5.2
ts8614,Breakout,SHOW,"Afterlosingherfamilyinasuspiciouscarcrash,awomanawakensfroma13-yearcomadeterminedtoexposethetruthaboutthelong-agotragedy.",2010,TV-14,44,"drama,action",SG,1,tt7131684,6.7,7,1.546,
tm100106,MyAmnesiaGirl,MOVIE,"WhenApollofindshimselfsurroundedbyfriendswhoarebeginningtosettledown,heisfacedwiththepossibilityoffindinghistruelove.Itallboilsdowntoonename:Irene.Itmustbefatethen,whenheonceagainseesIrene,hisex-girlfriendfromthreeyearsagowithwhomhehadthebestmemorieswith.ApolloandIrenewereaperfectcoupleuntilcircumstancesledthemtofallapart.Now,IrenehasnorecollectionofApollo,havingacquiredamnesiashortlyaftertheirseparation.ApolloseesthisastheperfectopportunitytopursueIreneagain,andbeabletoundoallthemistakeshemadeinthepast,byofferingIrenethebestmemoriesshecouldeverhave.Trueloveisdifficulttoresist,theylearn.Justwhentheyfindthemselvesreadytocommittoeachother,thepainsfromthepastcatchupwiththem,challengingthemtofinallyownuptothemistakesmadeandliessaid,andeventuallyrealizewhatitistoforgiveandforget.",2010,,110,"comedy,romance",PH,,tt1783350,6.7,432,2.228,6.4
ts188031,PinkZone,SHOW,"Isthestoryoffourfriends:Natalia,Angélica,VickyandSara.Thefourofthemlivetogetherandtrytolivetogetherdespitehavingtheirdifferences.TheyallsupportNatalia'sdream.Nataliaisa25-year-oldyoungwoman,recentlygraduatedfromhercookingstudies,whodreamsofsettingupherownrestaurant,andwantsherfriendstobeherpartnersandthatherbestfriendAndrésalsobetheadministrator.However,despiteherdreams,Nataliahashadverybadluckinherrelationships.HerlastboyfriendFedericowascheatingonherandleaveshertomarryanotherwoman.However,shedoesnotsuspectthatherbestfriendAndrésissecretlyinlovewithherandtriestowinheroverandchangeherperceptionofmen.",2007,,0,"drama,romance,comedy",MX,1,tt11194518,5.8,52,0.682,10
tm85689,KrishnaCottage,MOVIE,AgroupofcollegiansareforcedtotakeshelterinamysteriousKrishnaCottageforthenight.Littledotheyknowthatthecottageishauntedbyaspirit.,2004,,124,"thriller,horror,romance,drama",IN,,tt0408976,5.1,1178,1.357,5.5
ts25707,TheLittleNyonya,SHOW,"AbiographicflashbackofanextendedPeranakanfamilyinMalacca;setinthe1930s,thestoryspansover70yearsandseveralgenerationsofthreefamilies.",2008,TV-14,44,drama,SG,1,,,,4.06,9
tm38454,JeffDunham'sVerySpecialChristmasSpecial,MOVIE,Themulti-platinumsellingcomedianperformshisfirstholiday-themedstand-upspecialwithhisfriends.,2008,PG-13,85,"comedy,documentation",US,,tt1295909,7.4,3042,2.581,6.9
tm57586,MissionIstaanbul,MOVIE,Anewsreportermustuncoverthesecretonthe13thfloorofaNewsStation.,2008,,125,"action,drama,thriller",IN,,tt1179781,3.4,1169,1.009,3.2
ts23797,Black&White,SHOW,"PiZiandYingXiongaretwocopswhoareasdifferentasdayandnight.Onelivesaluxuriouslifestyleanddoesnothingbutdrinkcoffeeandwaitforinformationfromdubioussourcestocrackhiscases.Anotherbelieveslawandjusticearethepillarsofsocietyandisconstantlyonthestreetcatchingcriminals.Whenacasebringsthesetwotopcrimesolverstogether,sparksflyandlightbeginstocreepintothedarkcornersofTaipei.",2009,TV-14,37,"action,comedy,sport,crime",TW,3,tt5295012,7.6,312,3.208,8.9
tm76029,UndertheBombs,MOVIE,"InthewakeofIsrael's2006bombardmentofLebanon,adeterminedwomanfindsherwayintothecountryconvincingataxidrivertotakeariskyjourneyaroundthescarredregioninsearchofhersisterandherson.",2007,,98,"war,romance,drama,history,european","LB,GB,FR",,tt1094275,7,1655,2.151,6.4
